Name,Date of Birth,Type of Parliamentarian,House of Commons,Senate,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation,Years of Service
"Tochor, Corey",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Saskatoon--University (2019/10/21 - )
","Saskatchewan
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Toet, Lawrence",1962-01-02,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Elmwood--Transcona (2011/05/02 - 2015/10/18)
","Manitoba
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Toews, Vic",1952-09-10,"MP (2000/11/27 - 2013/07/09)
","2000/11/27 - 2013/07/09
",NA,"Provencher (2000/11/27 - 2013/07/09)
","Manitoba
",Man,"Conservative Party of Canada (2003/12/23 - 2013/07/09)
Canadian Reform Conservative Alliance (2000/11/27 - 2003/12/22)
","4608 days (12 years, 7 months, 12 days)"
"Tolmie, Donald Ross",1923-11-11,"MP (1965/11/08 - 1972/10/29)
","1965/11/08 - 1972/10/29
",NA,"Welland (1965/11/08 - 1972/10/29)
","Ontario
",Man,"Liberal Party of Canada (1965/11/08 - 1972/10/29)
","2548 days (6 years, 11 months, 22 days)"
"Tonks, Alan",1943-04-02,"MP (2000/11/27 - 2011/05/01)
","2000/11/27 - 2011/05/01
",NA,"York South--Weston (2000/11/27 - 2011/05/01)
","Ontario
",Man,"Liberal Party of Canada (2000/11/27 - 2011/05/01)
","3808 days (10 years, 5 months, 4 days)"
"Toone, Philip",1965,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Gaspésie--Îles-de-la-Madeleine (2011/05/02 - 2015/10/18)
","Quebec
",Man,"New Democratic Party (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Tootoo, Hunter",1963-08-18,"MP (2015/10/19 - 2019/10/20)
","2015/10/19 - 2019/10/20
",NA,"Nunavut (2015/10/19 - 2019/10/20)
","Nunavut
",Man,"Independent (2016/05/31 - 2019/10/20)
Liberal Party of Canada (2015/10/19 - 2016/05/30)
","1463 days (4 years, 2 days)"
"Torsney, Paddy",1962-12-19,"MP (1993/10/25 - 2006/01/22)
","1993/10/25 - 2006/01/22
",NA,"Burlington (1993/10/25 - 2006/01/22)
","Ontario
",Woman,"Liberal Party of Canada (1993/10/25 - 2006/01/22)
","4473 days (12 years, 2 months, 29 days)"
"Toupin, Robert",1949-01-20,"MP (1984/09/04 - 1988/11/20)
","1984/09/04 - 1988/11/20
",NA,"Terrebonne (1984/09/04 - 1988/11/20)
","Quebec
",Man,"Independent (1987/10/26 - 1988/11/20)
New Democratic Party (1986/12/16 - 1987/10/25)
Independent (1986/05/14 - 1986/12/15)
Progressive Conservative Party (1984/09/04 - 1986/05/13)
","1539 days (4 years, 2 months, 17 days)"
"Tousignant, Henri",1937-08-20,"MP (1979/05/22 - 1984/09/03)
","1979/05/22 - 1984/09/03
",NA,"Témiscamingue (1979/05/22 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1979/05/22 - 1984/09/03)
","1932 days (5 years, 3 months, 15 days)"
"Towers, Thomas Gordon",1919-07-05,"MP (1972/10/30 - 1988/11/20)
","1972/10/30 - 1988/11/20
",NA,"Red Deer (1972/10/30 - 1988/11/20)
","Alberta
",Man,"Progressive Conservative Party (1963/04/08 - 1988/11/20)
","5866 days (16 years, 22 days)"
"Tremblay, Arthur Julien",1917-06-18,"Senator (1979/09/27 - 1992/06/18)
",NA,"1979/09/27 - 1992/06/18
","The Laurentides (1979/09/27 - 1992/06/18)
","Quebec
",Man,"Progressive Conservative Party (1979/09/27 - 1992/06/18)
","4649 days (12 years, 8 months, 23 days)"
"Tremblay, Benoît",1948-03-16,"MP (1988/11/21 - 1997/06/01)
","1988/11/21 - 1997/06/01
",NA,"Rosemont (1988/11/21 - 1997/06/01)
","Quebec
",Man,"Bloc Québécois (1990/12/20 - 1997/06/01)
Independent (1990/06/26 - 1990/12/19)
Progressive Conservative Party (1988/11/21 - 1990/06/25)
","3115 days (8 years, 6 months, 10 days)"
"Tremblay, Jacques Raymond",1923-08-31,"MP (1967/05/29 - 1968/06/24)
","1967/05/29 - 1968/06/24
",NA,"Richelieu--Verchères (1967/05/29 - 1968/06/24)
","Quebec
",Man,"Liberal Party of Canada (1967/05/29 - 1968/06/24)
","393 days (1 years, 28 days)"
"Tremblay, Jonathan",1984-11-15,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Montmorency--Charlevoix--Haute-Côte-Nord (2011/05/02 - 2015/10/18)
","Quebec
",Man,"New Democratic Party (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Tremblay, Léonard-David Sweezey",1896-04-16,"MP (1935/10/14 - 1953/06/11)
Senator (1953/06/12 - 1965/09/02)
","1935/10/14 - 1953/06/11
","1953/06/12 - 1965/09/02
","Lauzon (1953/06/12 - 1965/09/02)
Dorchester (1935/10/14 - 1953/06/11)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1935/10/14 - 1965/09/02)
","10917 days (29 years, 10 months, 21 days)"
"Tremblay, Marcel R.",1943-03-30,"MP (1984/09/04 - 1993/10/24)
","1984/09/04 - 1993/10/24
",NA,"Québec-Est (1984/09/04 - 1993/10/24)
","Quebec
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Tremblay, Maurice",1944-04-23,"MP (1984/09/04 - 1993/10/24)
","1984/09/04 - 1993/10/24
",NA,"Lotbinière (1984/09/04 - 1993/10/24)
","Quebec
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Tremblay, René",1922-11-12,"MP (1963/04/08 - 1968/01/22)
","1963/04/08 - 1968/01/22
",NA,"Matapédia--Matane (1963/04/08 - 1968/01/22)
","Quebec
",Man,"Liberal Party of Canada (1963/04/08 - 1968/01/22)
","1751 days (4 years, 9 months, 16 days)"
"Tremblay, Stéphan",1973-11-04,"MP (2000/06/29 - 2002/05/07)
MP (1996/03/25 - 2000/06/28)
","2000/06/29 - 2002/05/07
1996/03/25 - 2000/06/28
",NA,"Lac-Saint-Jean--Saguenay (2000/06/29 - 2002/05/07)
Lac-Saint-Jean (1996/03/25 - 2000/06/28)
","Quebec
Quebec
",Man,"Bloc Québécois (1996/03/25 - 2002/05/13)
","2235 days (6 years, 1 months, 14 days)"
"Tremblay, Suzanne",1937-01-24,"MP (2000/06/29 - 2004/06/27)
MP (1997/06/02 - 2000/06/28)
MP (1993/10/25 - 1997/06/01)
","2000/06/29 - 2004/06/27
1997/06/02 - 2000/06/28
1993/10/25 - 1997/06/01
",NA,"Rimouski-Neigette-et-La Mitis (2000/06/29 - 2004/06/27)
Rimouski--Mitis (1997/06/02 - 2000/06/28)
Rimouski--Témiscouata (1993/10/25 - 1997/06/01)
","Quebec
Quebec
Quebec
",Woman,"Bloc Québécois (1993/10/25 - 2004/06/27)
","3899 days (10 years, 8 months, 4 days)"
"Trenholme Counsell, Marilyn",1933-10-22,"Senator (2003/09/09 - 2008/10/22)
",NA,"2003/09/09 - 2008/10/22
","New Brunswick (2003/09/09 - 2008/10/22)
","New Brunswick
",Woman,"Liberal Party of Canada (2003/09/09 - 2008/10/22)
","1871 days (5 years, 1 months, 15 days)"
"Trost, Brad",1974-05-15,"MP (2015/10/19 - 2019/10/20)
MP (2004/06/28 - 2015/10/18)
","2015/10/19 - 2019/10/20
2004/06/28 - 2015/10/18
",NA,"Saskatoon--University (2015/10/19 - 2019/10/20)
Saskatoon--Humboldt (2004/06/28 - 2015/10/18)
","Saskatchewan
Saskatchewan
",Man,"Conservative Party of Canada (2004/06/28 - 2019/10/20)
","5593 days (15 years, 3 months, 23 days)"
"Trottier, Bernard",1965-03-13,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Etobicoke--Lakeshore (2011/05/02 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Trudeau, Justin",1971-12-25,"MP (2008/10/14 - )
","2008/10/14 - 
",NA,"Papineau (2008/10/14 - )
","Quebec
",Man,"Liberal Party of Canada (2008/10/14 - )
","5627 days (15 years, 4 months, 26 days)"
"Trudeau, Pierre Elliott",1919-10-18,"MP (1965/11/08 - 1984/06/29)
","1965/11/08 - 1984/06/29
",NA,"Mount Royal (1965/11/08 - 1984/06/29)
","Quebec
",Man,"Liberal Party of Canada (1965/11/08 - 1984/06/29)
","6809 days (18 years, 7 months, 22 days)"
"Trudel, Denis",1963-07-18,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Longueuil--Saint-Hubert (2019/10/21 - )
","Quebec
",Man,"Bloc Québécois (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Trudel, Jacques L.",1919-04-13,"MP (1972/10/30 - 1979/05/21)
MP (1968/06/25 - 1972/10/29)
","1972/10/30 - 1979/05/21
1968/06/25 - 1972/10/29
",NA,"Montreal--Bourassa (1972/10/30 - 1979/05/21)
Bourassa (1968/06/25 - 1972/10/29)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1968/06/25 - 1979/05/21)
","3983 days (10 years, 10 months, 27 days)"
"Trudel, Karine",NA,"MP (2015/10/19 - 2019/10/20)
","2015/10/19 - 2019/10/20
",NA,"Jonquière (2015/10/19 - 2019/10/20)
","Quebec
",Woman,"New Democratic Party (2015/10/19 - 2019/10/20)
","1463 days (4 years, 2 days)"
"Truppe, Susan",1959-08-20,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"London North Centre (2011/05/02 - 2015/10/18)
","Ontario
",Woman,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Tucker, James Roy",1909-12-25,"MP (1958/03/31 - 1968/06/24)
","1958/03/31 - 1968/06/24
",NA,"Trinity--Conception (1958/03/31 - 1968/06/24)
","Newfoundland and Labrador
",Man,"Liberal Party of Canada (1958/03/31 - 1968/06/24)
","3739 days (10 years, 2 months, 26 days)"
"Tunney, James",1927-06-16,"Senator (2001/03/08 - 2002/06/16)
",NA,"2001/03/08 - 2002/06/16
","Grafton (2001/03/08 - 2002/06/16)
","Ontario
",Man,"Liberal Party of Canada (2001/03/08 - 2002/06/16)
","466 days (1 years, 3 months, 10 days)"
"Tupper, William",1933-10-07,"MP (1984/09/04 - 1988/11/20)
","1984/09/04 - 1988/11/20
",NA,"Nepean--Carleton (1984/09/04 - 1988/11/20)
","Ontario
",Man,"Progressive Conservative Party (1984/09/04 - 1988/11/20)
","1539 days (4 years, 2 months, 17 days)"
"Turgeon, James Gray",1879-10-07,"MP (1935/10/14 - 1945/06/10)
Senator (1947/01/27 - 1964/02/14)
","1935/10/14 - 1945/06/10
","1947/01/27 - 1964/02/14
","Cariboo (1947/01/27 - 1964/02/14)
Cariboo (1935/10/14 - 1945/06/10)
","British Columbia
British Columbia
",Man,"Liberal Party of Canada (1947/01/27 - 1964/02/14)
Liberal Party of Canada (1935/10/14 - 1945/06/10)
","9756 days (26 years, 8 months, 17 days)"
"Turmel, Nycole",1942-09-01,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Hull--Aylmer (2011/05/02 - 2015/10/18)
","Quebec
",Woman,"New Democratic Party (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Turnbull, Ryan",1977-07-15,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Whitby (2019/10/21 - )
","Ontario
",Man,"Liberal Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Turner, Charles Robert",1916-03-24,"MP (1968/06/25 - 1984/07/08)
Senator (1984/07/09 - 1991/03/24)
","1968/06/25 - 1984/07/08
","1984/07/09 - 1991/03/24
","London (1984/07/09 - 1991/03/24)
London East (1968/06/25 - 1984/07/08)
","Ontario
Ontario
",Man,"Liberal Party of Canada (1968/06/25 - 1991/03/24)
","8308 days (22 years, 8 months, 30 days)"
"Turner, Garth",1949-03-14,"MP (2006/01/23 - 2008/10/13)
MP (1988/11/21 - 1993/10/24)
","2006/01/23 - 2008/10/13
1988/11/21 - 1993/10/24
",NA,"Halton (2006/01/23 - 2008/10/13)
Halton--Peel (1988/11/21 - 1993/10/24)
","Ontario
Ontario
",Man,"Liberal Party of Canada (2007/02/06 - 2008/10/13)
Independent (2006/10/18 - 2007/02/05)
Conservative Party of Canada (2006/01/23 - 2006/10/17)
Progressive Conservative Party (1988/11/21 - 1993/10/24)
","2794 days (7 years, 7 months, 24 days)"
"Turner, John Barry",1946-04-11,"MP (1984/09/04 - 1988/11/20)
","1984/09/04 - 1988/11/20
",NA,"Ottawa--Carleton (1984/09/04 - 1988/11/20)
","Ontario
",Man,"Progressive Conservative Party (1984/09/04 - 1988/11/20)
","1539 days (4 years, 2 months, 17 days)"
"Turner, John Napier",1929-06-07,"MP (1984/09/04 - 1993/10/24)
MP (1968/06/25 - 1976/02/12)
MP (1962/06/18 - 1968/06/24)
","1984/09/04 - 1993/10/24
1968/06/25 - 1976/02/12
1962/06/18 - 1968/06/24
",NA,"Vancouver Quadra (1984/09/04 - 1993/10/24)
Ottawa--Carleton (1968/06/25 - 1976/02/12)
St. Lawrence--St. George (1962/06/18 - 1968/06/24)
","British Columbia
Ontario
Quebec
",Man,"Liberal Party of Canada (1984/06/30 - 1993/10/24)
Liberal Party of Canada (1962/06/18 - 1980/02/18)
","8326 days (22 years, 9 months, 17 days)"
"Turp, Daniel",1955-04-30,"MP (1997/06/02 - 2000/11/26)
","1997/06/02 - 2000/11/26
",NA,"Beauharnois--Salaberry (1997/06/02 - 2000/11/26)
","Quebec
",Man,"Bloc Québécois (1996/03/25 - 2000/11/26)
","1274 days (3 years, 5 months, 26 days)"
"Tweed, Mervin C.",1955-08-06,"MP (2004/06/28 - 2013/08/31)
","2004/06/28 - 2013/08/31
",NA,"Brandon--Souris (2004/06/28 - 2013/08/31)
","Manitoba
",Man,"Conservative Party of Canada (2004/06/28 - 2013/08/31)
","3352 days (9 years, 2 months, 4 days)"
"Twinn, Walter",1934-03-29,"Senator (1990/09/27 - 1997/10/30)
",NA,"1990/09/27 - 1997/10/30
","Alberta (1990/09/27 - 1997/10/30)
","Alberta
",Man,"Progressive Conservative Party (1990/09/27 - 1997/10/30)
","2591 days (7 years, 1 months, 4 days)"
"Unger, Betty",NA,"Senator (2012/01/06 - 2018/08/20)
",NA,"2012/01/06 - 2018/08/20
","Alberta (2012/01/06 - 2018/08/20)
","Alberta
",Woman,"Conservative Party of Canada (2012/01/06 - 2018/08/20)
","2419 days (6 years, 7 months, 15 days)"
"Uppal, Tim",1974-11-17,"MP (2019/10/21 - )
MP (2008/10/14 - 2015/10/18)
","2019/10/21 - 
2008/10/14 - 2015/10/18
",NA,"Edmonton Mill Woods (2019/10/21 - )
Edmonton--Sherwood Park (2008/10/14 - 2015/10/18)
","Alberta
Alberta
",Man,"Conservative Party of Canada (2019/10/21 - )
Conservative Party of Canada (2008/10/14 - 2015/10/18)
","4164 days (11 years, 4 months, 24 days)"
"Ur, Rose-Marie Margaret",1946-07-28,"MP (2004/09/01 - 2006/01/22)
MP (2004/06/28 - 2004/08/31)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)
","2004/09/01 - 2006/01/22
2004/06/28 - 2004/08/31
1997/06/02 - 2004/06/27
1993/10/25 - 1997/06/01
",NA,"Lambton--Kent--Middlesex (2004/09/01 - 2006/01/22)
Middlesex--Kent--Lambton (2004/06/28 - 2004/08/31)
Lambton--Kent--Middlesex (1997/06/02 - 2004/06/27)
Lambton--Middlesex (1993/10/25 - 1997/06/01)
","Ontario
Ontario
Ontario
Ontario
",Woman,"Liberal Party of Canada (1993/10/25 - 2006/01/22)
","4473 days (12 years, 2 months, 29 days)"
"Urquhart, Earl Wallace",1921-02-22,"Senator (1966/02/24 - 1971/08/17)
",NA,"1966/02/24 - 1971/08/17
","Inverness-Richmond (1966/02/24 - 1971/08/17)
","Nova Scotia
",Man,"Liberal Party of Canada (1966/02/24 - 1971/08/17)
","2001 days (5 years, 5 months, 23 days)"
"Vaillancourt, Cyrille",1892-01-17,"Senator (1944/03/03 - 1969/01/03)
",NA,"1944/03/03 - 1969/01/03
","Kennebec (1944/03/03 - 1969/01/03)
","Quebec
",Man,"Liberal Party of Canada (1944/03/03 - 1969/01/03)
","9073 days (24 years, 10 months, 3 days)"
"Valade, Georges-J.",1922-03-25,"MP (1958/03/31 - 1972/10/29)
","1958/03/31 - 1972/10/29
",NA,"Sainte-Marie (1958/03/31 - 1972/10/29)
","Quebec
",Man,"Progressive Conservative Party (1958/03/31 - 1972/10/29)
","5327 days (14 years, 7 months, 1 days)"
"Valcourt, Bernard",1952-02-18,"MP (2011/05/02 - 2015/10/18)
MP (1984/09/04 - 1993/10/24)
","2011/05/02 - 2015/10/18
1984/09/04 - 1993/10/24
",NA,"Madawaska--Restigouche (2011/05/02 - 2015/10/18)
Madawaska--Victoria (1984/09/04 - 1993/10/24)
","New Brunswick
New Brunswick
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
Progressive Conservative Party (1984/09/04 - 1993)
","4969 days (13 years, 7 months, 8 days)"
"Valeri, Tony",1957-08-11,"MP (2004/06/28 - 2006/01/22)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)
","2004/06/28 - 2006/01/22
1997/06/02 - 2004/06/27
1993/10/25 - 1997/06/01
",NA,"Hamilton East--Stoney Creek (2004/06/28 - 2006/01/22)
Stoney Creek (1997/06/02 - 2004/06/27)
Lincoln (1993/10/25 - 1997/06/01)
","Ontario
Ontario
Ontario
",Man,"Liberal Party of Canada (1993/10/25 - 2006/01/22)
","4473 days (12 years, 2 months, 29 days)"
"Valeriote, Frank",1954-08-15,"MP (2008/10/14 - 2015/10/18)
","2008/10/14 - 2015/10/18
",NA,"Guelph (2008/10/14 - 2015/10/18)
","Ontario
",Man,"Liberal Party of Canada (2008/10/14 - 2015/10/18)
","2561 days (7 years, 4 days)"
"Valley, Roger",1957-01-29,"MP (2004/06/28 - 2008/10/13)
","2004/06/28 - 2008/10/13
",NA,"Kenora (2004/06/28 - 2008/10/13)
","Ontario
",Man,"Liberal Party of Canada (1980 - 2008/10/13)
","1569 days (4 years, 3 months, 17 days)"
"Van Bynen, Tony",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Newmarket--Aurora (2019/10/21 - )
","Ontario
",Man,"Liberal Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Van De Walle, Walter",1922-07-20,"MP (1988/11/21 - 1993/10/24)
MP (1986/09/29 - 1988/11/20)
","1988/11/21 - 1993/10/24
1986/09/29 - 1988/11/20
",NA,"St. Albert (1988/11/21 - 1993/10/24)
Pembina (1986/09/29 - 1988/11/20)
","Alberta
Alberta
",Man,"Progressive Conservative Party (1986/09/29 - 1993/10/24)
","2583 days (7 years, 26 days)"
"Van Kesteren, Dave",1955-10-07,"MP (2015/10/19 - 2019/10/20)
MP (2006/01/23 - 2015/10/18)
","2015/10/19 - 2019/10/20
2006/01/23 - 2015/10/18
",NA,"Chatham-Kent--Leamington (2015/10/19 - 2019/10/20)
Chatham-Kent--Essex (2006/01/23 - 2015/10/18)
","Ontario
Ontario
",Man,"Conservative Party of Canada (2006/01/23 - 2019/10/20)
","5019 days (13 years, 8 months, 28 days)"
"van Koeverden, Adam",1982-01-29,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Milton (2019/10/21 - )
","Ontario
",Man,"Liberal Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Van Loan, Peter",1963-04-18,"MP (2004/06/28 - 2018/09/30)
","2004/06/28 - 2018/09/30
",NA,"York--Simcoe (2004/06/28 - 2018/09/30)
","Ontario
",Man,"Conservative Party of Canada (2004/06/28 - 2018/09/30)
","5208 days (14 years, 3 months, 4 days)"
"Van Popta, Tako",1953-05-29,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Langley--Aldergrove (2019/10/21 - )
","British Columbia
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Van Roggen, George Clifford",1921-07-22,"Senator (1971/11/04 - 1992/06/08)
",NA,"1971/11/04 - 1992/06/08
","Vancouver-Points Grey (1971/11/04 - 1992/06/08)
","British Columbia
",Man,"Liberal Party of Canada (1971/11/04 - 1992/06/08)
","7523 days (20 years, 7 months, 5 days)"
"Vanclief, Lyle",1943-09-19,"MP (1988/11/21 - 2004/06/27)
","1988/11/21 - 2004/06/27
",NA,"Prince Edward--Hastings (1988/11/21 - 2004/06/27)
","Ontario
",Man,"Liberal Party of Canada (1988/11/21 - 2004/06/27)
","5698 days (15 years, 7 months, 6 days)"
"Vandal, Daniel",1960-04-18,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Saint Boniface--Saint Vital (2015/10/19 - )
","Manitoba
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Vandenbeld, Anita",1971-12-03,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Ottawa West--Nepean (2015/10/19 - )
","Ontario
",Woman,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Vankoughnet, William John",1943-01-07,"MP (1984/09/04 - 1993/10/24)
MP (1979/05/22 - 1984/09/03)
","1984/09/04 - 1993/10/24
1979/05/22 - 1984/09/03
",NA,"Hastings--Frontenac--Lennox and Addington (1984/09/04 - 1993/10/24)
Hastings--Frontenac (1979/05/22 - 1984/09/03)
","Ontario
Ontario
",Man,"Progressive Conservative Party (1979/05/22 - 1993/10/24)
","5270 days (14 years, 5 months, 5 days)"
"Vaughan, Adam",1961-07-03,"MP (2015/10/19 - 2021/09/19)
MP (2014/06/30 - 2015/10/18)
","2015/10/19 - 2021/09/19
2014/06/30 - 2015/10/18
",NA,"Spadina--Fort York (2015/10/19 - 2021/09/19)
Trinity--Spadina (2014/06/30 - 2015/10/18)
","Ontario
Ontario
",Man,"Liberal Party of Canada (2014/06/30 - 2021/09/19)
","2639 days (7 years, 2 months, 21 days)"
"Vautour, Angela",1960-04-10,"MP (1997/06/02 - 2000/11/26)
","1997/06/02 - 2000/11/26
",NA,"Beauséjour--Petitcodiac (1997/06/02 - 2000/11/26)
","New Brunswick
",Woman,"Progressive Conservative Party (1999/09/27 - 2000/11/26)
New Democratic Party (1997/06/02 - 1999/09/26)
","1274 days (3 years, 5 months, 26 days)"
"Vecchio, Karen",1971-03-06,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Elgin--Middlesex--London (2015/10/19 - )
","Ontario
",Woman,"Conservative Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Veillette, Michel",1939-10-06,"MP (1979/05/22 - 1984/09/03)
","1979/05/22 - 1984/09/03
",NA,"Champlain (1979/05/22 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1979/05/22 - 1984/09/03)
","1932 days (5 years, 3 months, 15 days)"
"Vellacott, Maurice",NA,"MP (2000/06/29 - 2015/10/18)
MP (1997/06/02 - 2000/06/28)
","2000/06/29 - 2015/10/18
1997/06/02 - 2000/06/28
",NA,"Saskatoon--Wanuskewin (2000/06/29 - 2015/10/18)
Wanuskewin (1997/06/02 - 2000/06/28)
","Saskatchewan
Saskatchewan
",Man,"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1997/06/02 - 2000/03/26)
","6713 days (18 years, 4 months, 17 days)"
"Veniot, Clarence Joseph",1886-02-09,"MP (1936/08/17 - 1945/04/17)
Senator (1945/04/18 - 1966/06/01)
","1936/08/17 - 1945/04/17
","1945/04/18 - 1966/06/01
","Gloucester (1945/04/18 - 1966/06/01)
Gloucester (1936/08/17 - 1945/04/17)
","New Brunswick
New Brunswick
",Man,"Liberal Party of Canada (1936/08/17 - 1966/06/01)
","10881 days (29 years, 9 months, 15 days)"
"Venne, Pierrette",1945-08-08,"MP (1997/06/02 - 2004/06/27)
MP (1988/11/21 - 1997/06/01)
","1997/06/02 - 2004/06/27
1988/11/21 - 1997/06/01
",NA,"Saint-Bruno--Saint-Hubert (1997/06/02 - 2004/06/27)
Saint-Hubert (1988/11/21 - 1997/06/01)
","Quebec
Quebec
",Woman,"Independent Bloc Québécois (2003/02/07 - 2004/06/27)
Bloc Québécois (1991/08/12 - 2003/02/06)
Progressive Conservative Party (1988/11/21 - 1991/08/11)
","5698 days (15 years, 7 months, 6 days)"
"Verner, Josée",NA,"MP (2006/01/23 - 2011/05/01)
Senator (2011/06/13 - )
","2006/01/23 - 2011/05/01
","2011/06/13 - 
","Montarville (2011/06/13 - )
Louis-Saint-Laurent (2006/01/23 - 2011/05/01)
","Quebec
Quebec
",Woman,"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/10/17 - 2019/11/03)
Non-affiliated (2017/01/31 - 2017/10/16)
Conservative Party of Canada (2011/06/13 - 2017/01/30)
Conservative Party of Canada (2006/01/23 - 2011/05/01)
","6580 days (18 years, 6 days)"
"Verran, Harry",1930-07-06,"MP (1993/10/25 - 1997/06/01)
","1993/10/25 - 1997/06/01
",NA,"South West Nova (1993/10/25 - 1997/06/01)
","Nova Scotia
",Man,"Liberal Party of Canada (1993/10/25 - 1997/06/01)
","1316 days (3 years, 7 months, 7 days)"
"Vézina, Monique",1935-07-13,"MP (1984/09/04 - 1993/10/24)
","1984/09/04 - 1993/10/24
",NA,"Rimouski--Témiscouata (1984/09/04 - 1993/10/24)
","Quebec
",Woman,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Vidal, Gary",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Desnethé--Missinippi--Churchill River (2019/10/21 - )
","Saskatchewan
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Vien, Jacques",1932-03-03,"MP (1988/11/21 - 1993/10/24)
","1988/11/21 - 1993/10/24
",NA,"Laurentides (1988/11/21 - 1993/10/24)
","Quebec
",Man,"Progressive Conservative Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Vien, Thomas",1881-07-19,"MP (1935/10/14 - 1942/10/04)
MP (1917/12/17 - 1925/10/28)
Senator (1942/10/05 - 1968/04/01)
","1935/10/14 - 1942/10/04
1917/12/17 - 1925/10/28
","1942/10/05 - 1968/04/01
","De Lorimier (1942/10/05 - 1968/04/01)
Outremont (1935/10/14 - 1942/10/04)
Lotbinière (1917/12/17 - 1925/10/28)
","Quebec
Quebec
Quebec
",Man,"Liberal Party of Canada (1935/10/14 - 1968/04/01)
Liberal Party of Canada (1921/12/06 - 1925/10/28)
Opposition (1917/12/17 - 1921/12/05)
Opposition (1918/03/18 - 1921/10/04)
","14732 days (40 years, 4 months,"
"Viersen, Arnold",1986-05-03,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Peace River--Westlock (2015/10/19 - )
","Alberta
",Man,"Conservative Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Vignola, Julie",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Beauport--Limoilou (2019/10/21 - )
","Quebec
",Woman,"Bloc Québécois (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
